,Symbol,Date,High,Low,Open,Close,Volume
1989,JNJ,2013-11-08,94.10,92.56,92.63,94.05,7229500
1990,JNJ,2013-11-11,94.64,93.94,93.97,94.29,4723100
1991,JNJ,2013-11-12,94.09,93.00,93.98,93.56,7639600
1992,JNJ,2013-11-13,93.45,92.32,93.36,93.34,8954300
1993,JNJ,2013-11-14,94.14,93.40,93.40,93.92,7045700
1994,JNJ,2013-11-15,94.40,93.55,93.63,94.39,7063000
1995,JNJ,2013-11-18,94.60,94.01,94.36,94.30,8492000
1996,JNJ,2013-11-19,94.92,94.00,94.27,94.86,6624200
1997,JNJ,2013-11-20,95.47,94.66,94.94,95.15,7076500
1998,JNJ,2013-11-21,95.75,95.05,95.46,95.20,6896200
1999,JNJ,2013-11-22,95.58,94.39,94.39,95.25,6462100
2000,JNJ,2013-11-25,95.99,95.08,95.49,95.63,6374600
2001,JNJ,2013-11-26,95.87,94.97,95.58,95.06,7267600
2002,JNJ,2013-11-27,95.37,94.61,95.34,94.98,4603800
2003,JNJ,2013-11-29,95.50,94.43,95.23,94.66,4106800
2004,JNJ,2013-12-02,94.66,93.97,94.41,94.28,5827400
2005,JNJ,2013-12-03,94.56,93.51,94.20,93.97,9061100
2006,JNJ,2013-12-04,94.25,93.13,93.76,93.63,6218500
2007,JNJ,2013-12-05,93.63,92.66,93.42,92.97,8666200
2008,JNJ,2013-12-06,94.48,93.42,93.60,94.44,7280400
2009,JNJ,2013-12-09,94.48,93.70,94.30,94.44,6974500
2010,JNJ,2013-12-10,94.79,93.96,94.58,94.14,7576600
2011,JNJ,2013-12-11,94.45,93.03,94.40,93.11,9424300
2012,JNJ,2013-12-12,92.86,91.07,92.84,91.16,12285700
2013,JNJ,2013-12-13,91.86,91.08,91.46,91.35,7909000
2014,JNJ,2013-12-16,92.32,91.16,91.42,91.37,6623000
2015,JNJ,2013-12-17,91.33,90.50,91.30,90.66,8794000
2016,JNJ,2013-12-18,92.66,89.77,90.95,92.64,9691100
2017,JNJ,2013-12-19,92.40,91.42,92.40,91.98,7341000
2018,JNJ,2013-12-20,92.75,91.95,91.95,92.09,11265000
2019,JNJ,2013-12-23,92.68,91.76,92.56,92.03,5312200
2020,JNJ,2013-12-24,92.39,91.85,92.18,92.06,3147300
2021,JNJ,2013-12-26,92.54,91.77,91.99,92.54,3459100
2022,JNJ,2013-12-27,92.96,92.18,92.77,92.35,3511300
2023,JNJ,2013-12-30,92.30,91.73,92.16,92.30,4370100
2024,JNJ,2013-12-31,92.22,91.15,92.17,91.59,6348200
2025,JNJ,2014-01-02,91.73,91.01,91.14,91.03,5919600
2026,JNJ,2014-01-03,92.22,91.26,91.29,91.85,5637600
2027,JNJ,2014-01-06,92.75,91.87,91.93,92.33,7443500
2028,JNJ,2014-01-07,94.62,92.99,93.04,94.29,11063300
2029,JNJ,2014-01-08,94.60,93.88,94.17,94.16,9096700
2030,JNJ,2014-01-09,95.38,94.09,94.94,94.73,7944700
2031,JNJ,2014-01-10,94.98,94.14,94.64,94.74,6697400
2032,JNJ,2014-01-13,94.99,94.06,94.37,94.50,9589200
2033,JNJ,2014-01-14,94.90,94.32,94.60,94.72,7567300
2034,JNJ,2014-01-15,95.27,94.51,94.65,94.80,7390700
2035,JNJ,2014-01-16,95.09,94.23,94.60,94.64,8401100
2036,JNJ,2014-01-17,95.17,94.38,94.72,95.06,13714400
2037,JNJ,2014-01-21,95.10,92.62,94.93,94.03,16368400
2038,JNJ,2014-01-22,94.55,93.54,93.99,94.32,8875500
2039,JNJ,2014-01-23,93.80,92.41,93.74,92.74,9322300
2040,JNJ,2014-01-24,92.61,90.61,92.12,90.61,10604200
2041,JNJ,2014-01-27,90.76,89.85,90.30,89.94,8685200
2042,JNJ,2014-01-28,90.60,89.79,90.58,90.10,8254400
2043,JNJ,2014-01-29,89.71,88.53,89.47,88.90,11160100
2044,JNJ,2014-01-30,89.78,89.01,89.62,89.50,6874900
2045,JNJ,2014-01-31,89.34,88.15,89.01,88.47,12193800
2046,JNJ,2014-02-03,88.78,86.61,88.75,86.78,13944600
2047,JNJ,2014-02-04,87.28,86.09,86.93,86.62,11436400
2048,JNJ,2014-02-05,87.67,86.48,86.49,87.28,10667300
2049,JNJ,2014-02-06,88.76,87.55,87.63,88.75,10037900
2050,JNJ,2014-02-07,90.04,88.61,88.92,90.04,9435100
2051,JNJ,2014-02-10,91.08,89.80,90.24,91.07,8080200
2052,JNJ,2014-02-11,92.97,90.95,91.09,92.97,11556300
2053,JNJ,2014-02-12,92.99,91.95,92.95,92.42,7696100
2054,JNJ,2014-02-13,92.62,91.71,92.00,92.56,5926000
2055,JNJ,2014-02-14,92.95,92.03,92.60,92.76,5485100
2056,JNJ,2014-02-18,92.85,92.09,92.77,92.17,6926500
2057,JNJ,2014-02-19,92.75,91.57,92.15,91.64,7693400
2058,JNJ,2014-02-20,92.73,91.31,91.69,92.38,8160100
2059,JNJ,2014-02-21,92.25,91.45,91.86,91.52,7381500
2060,JNJ,2014-02-24,92.06,91.10,91.45,91.11,8406700
2061,JNJ,2014-02-25,91.87,90.66,91.59,91.11,6383400
2062,JNJ,2014-02-26,91.54,90.77,91.11,91.11,6334100
2063,JNJ,2014-02-27,91.42,90.75,91.16,91.36,7040300
2064,JNJ,2014-02-28,92.64,91.06,91.42,92.12,9643700
2065,JNJ,2014-03-03,91.98,90.83,91.13,91.56,7506700
2066,JNJ,2014-03-04,93.46,92.25,92.47,93.34,8796300
2067,JNJ,2014-03-05,93.30,92.38,93.27,92.59,6842500
2068,JNJ,2014-03-06,93.65,92.82,93.19,92.89,7718300
2069,JNJ,2014-03-07,93.48,92.69,93.37,93.32,6792000
2070,JNJ,2014-03-10,93.49,92.79,93.17,93.45,4878200
2071,JNJ,2014-03-11,93.75,93.09,93.71,93.49,5837200
2072,JNJ,2014-03-12,93.62,92.65,92.82,93.60,6154900
2073,JNJ,2014-03-13,94.20,92.98,93.85,93.00,7659400
2074,JNJ,2014-03-14,93.44,92.46,92.88,92.81,7337800
2075,JNJ,2014-03-17,94.18,93.18,93.26,93.93,5872600
2076,JNJ,2014-03-18,94.24,93.48,93.90,93.94,5891900
2077,JNJ,2014-03-19,94.36,92.92,93.89,93.59,5937600
2078,JNJ,2014-03-20,94.19,92.96,93.52,94.12,5727400
2079,JNJ,2014-03-21,95.93,93.88,94.77,95.93,23988800
2080,JNJ,2014-03-24,95.43,94.54,95.30,95.20,13944100
2081,JNJ,2014-03-25,97.70,95.70,95.70,97.38,14167300
